Designator,Mid X,Mid Y,Rotation,Layer
D1,40.7375,-32.969375,90.0,bottom
D10,59.7875,-71.069375,90.0,bottom
D11,78.8375,-71.069375,90.0,bottom
D12,97.8875,-71.069375,90.0,bottom
D13,40.7375,-90.119375,90.0,bottom
D14,59.7875,-90.119375,90.0,bottom
D15,78.8375,-90.119375,90.0,bottom
D16,97.8875,-90.119375,90.0,bottom
D2,59.7875,-32.969375,90.0,bottom
D3,78.8375,-32.969375,90.0,bottom
D4,97.8875,-32.969375,90.0,bottom
D5,40.7375,-52.019375,90.0,bottom
D6,59.7875,-52.019375,90.0,bottom
D7,78.8375,-52.019375,90.0,bottom
D8,97.8875,-52.019375,90.0,bottom
D9,40.7375,-71.069375,90.0,bottom
S1,31.2125,-30.111875,0.0,top
S10,50.2625,-68.211875,0.0,top
S11,69.3125,-68.211875,0.0,top
S12,88.3625,-68.211875,0.0,top
S13,31.2125,-87.261875,0.0,top
S14,50.2625,-87.261875,0.0,top
S15,69.3125,-87.261875,0.0,top
S16,88.3625,-87.261875,0.0,top
S2,50.2625,-30.111875,0.0,top
S3,69.3125,-30.111875,0.0,top
S4,88.3625,-30.111875,0.0,top
S5,31.2125,-49.161875,0.0,top
S6,50.2625,-49.161875,0.0,top
S7,69.3125,-49.161875,0.0,top
S8,88.3625,-49.161875,0.0,top
S9,31.2125,-68.211875,0.0,top
U1,116.26875,-41.435625,0.0,top
